SICOM,Vigencia,Estado,CLIENTE,PDS,TIPOLOGÍA DE MERCADO,ZONA,NOMBRE ZONA,DPTO,CIUDAD,LATITUD,LONGITUD,Estación de Servicio,Total Venta,n_eds
632598,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,SS BULEVAR LA 19,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 1,COSTA NORTE,MAGDALENA,SANTA MARTA,11.222951331411,-74.193748662659,BOULEVARD,670856620.0,SS BULEVAR LA 19
633043,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,ESTACION DE SERVICIOS Y LUBRICANTES MONTECARMELO OLIVAL,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 3,INTERIOR DEL PAIS,SANTANDER,SUAITA,6.155668,-73.335797,MONTECARMELO,361317225.0,ESTACION DE SERVICIOS Y LUBRICANTES MONTECARMELO OLIVAL
633197,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,SS PETROMIL LA TRONCAL No.1,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 2,COSTA SABANA,SUCRE,COROZAL,9.32407940649628,-75.2862996622341,TRONCAL I,511010499.0,SS PETROMIL LA TRONCAL No.1
633237,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,SS PETROMIL LA TRONCAL,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 2,COSTA SABANA,SUCRE,SINCELEJO,9.2909009747405,-75.388346534506,LA TRONCAL,617989367.0,SS PETROMIL LA TRONCAL
633744,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,S.S. EL PORTAL DE DAPA MARTIGONZA,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 3,INTERIOR DEL PAIS,VALLE DEL CAUCA,YUMBO,3.5165192965967,-76.516507921937,PORTAL DE DAPA,450367096.0,S.S. EL PORTAL DE DAPA MARTIGONZA
634129,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,SUPER STATION SAN MARTIN,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 1,COSTA NORTE,ATLANTICO,BARRANQUILLA,10.94536853571,-74.82152377186,SAN MARTIN,1055144073.0,SUPER STATION SAN MARTIN
634177,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,COMBUSTIBLES DE URABA,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 2,COSTA SABANA,ANTIOQUIA,NECOCLI,8.4245516219616,-76.78227345515,NECOCLI,895010436.0,COMBUSTIBLES DE URABA
634269,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,EDS LA SABANA ,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 3,INTERIOR DEL PAIS,CUNDINAMARCA,CHIA,4.86752194581857,-74.0240648486723,PORTAL DE LA SABANA,296112263.0,EDS LA SABANA 
634282,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,SS SAN PEDRO,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 1,COSTA NORTE,ATLANTICO,BARRANQUILLA,10.940961,-74.833547,SAN PEDRO,980868783.0,SS SAN PEDRO
634894,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,EDS LAS AMERICAS A.M. Y CIA LTDA,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 2,COSTA SABANA,BOLIVAR,CARTAGENA DE INDIAS,10.342121677908,-75.493885852913,LAS AMERICAS,832900997.0,EDS LAS AMERICAS A.M. Y CIA LTDA
635156,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,EDS BASTIDAS,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 1,COSTA NORTE,MAGDALENA,SANTA MARTA,11.2398202846882,-74.180849856455,BASTIDAS,619107925.0,EDS BASTIDAS
635176,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,LA FONTANA,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 3,INTERIOR DEL PAIS,VALLE DEL CAUCA,CALIMA,3.9361883368766,-76.482051668273,LA FONTANA,578592119.0,LA FONTANA
635459,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,EDS LA BASCULA,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 2,COSTA SABANA,BOLIVAR,ARJONA,10.135812985489,-75.262788648512,LA BASCULA,644276926.0,EDS LA BASCULA
635471,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,EDS LA SUBASTA,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 2,COSTA SABANA,CORDOBA,PUEBLO NUEVO,8.5281405121417,-75.50498205858,LA SUBASTA,446922520.0,EDS LA SUBASTA
636193,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,EDS LAS MARIAS,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 2,COSTA SABANA,BOLIVAR,TURBANA,10.229838038419,-75.421846920069,LAS MARIAS,192583790.0,EDS LAS MARIAS
